CustomerID,Gender,Age,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,InternetService,OnlineSecurity,TechSupport,SupportCalls,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00036,Male,21,0,No,No,31,No,Fiber optic,No,No,3,One year,No,Mailed check,80.36,2242.14,No
CUST00037,Male,67,1,No,No,6,No,Fiber optic,No,Yes,5,One year,No,Electronic check,75.21,438.28,No
CUST00038,Female,66,1,No,No,48,Yes,Fiber optic,No,No,1,Two year,No,Electronic check,80.71,3859.34,No
CUST00039,Female,34,0,No,Yes,44,Yes,DSL,No,No,2,One year,Yes,Bank transfer,59.62,2641.38,No
CUST00040,Male,54,0,No,No,13,Yes,DSL,No,No,0,Month-to-month,No,Bank transfer,60.72,726.04,Yes
CUST00041,Female,27,0,Yes,No,39,Yes,Fiber optic,Yes,No,0,One year,No,Electronic check,92.7,3300.9,No
CUST00042,Female,61,1,No,Yes,28,Yes,No,No internet service,No internet service,2,One year,Yes,Electronic check,34.17,947.61,Yes
CUST00043,Male,58,0,No,No,15,Yes,Fiber optic,Yes,No,1,Month-to-month,Yes,Bank transfer,87.67,1220.9,No
CUST00044,Female,38,0,No,Yes,39,Yes,No,No internet service,No internet service,1,One year,No,Electronic check,27.83,1022.68,No
CUST00045,Female,21,0,Yes,No,67,Yes,DSL,No,No,1,Month-to-month,Yes,Mailed check,54.43,3964.88,No
CUST00046,Female,74,1,Yes,No,19,Yes,Fiber optic,No,No,1,Two year,Yes,Mailed check,89.47,1666.43,No
CUST00047,Male,43,0,No,No,34,No,DSL,No,Yes,1,Two year,No,Bank transfer,45.78,1566.87,No
CUST00048,Female,69,1,Yes,Yes,12,Yes,DSL,No,No,2,Month-to-month,Yes,Credit card,56.74,689.93,No
CUST00049,Male,57,0,No,Yes,16,Yes,DSL,No,No,2,Month-to-month,Yes,Credit card,57.99,930.95,No
CUST00050,Female,63,1,No,No,27,Yes,DSL,Yes,No,2,Month-to-month,No,Electronic check,63.03,1865.31,No
CUST00051,Male,62,1,Yes,Yes,15,Yes,DSL,Yes,Yes,6,Month-to-month,Yes,Electronic check,45.19,673.68,Yes
CUST00052,Female,29,0,Yes,No,14,Yes,DSL,No,No,4,Month-to-month,Yes,Mailed check,53.33,729.84,No
CUST00053,Female,39,0,No,No,11,No,Fiber optic,Yes,No,4,Month-to-month,Yes,Mailed check,62.85,662.54,Yes
CUST00054,Male,45,0,Yes,Yes,58,Yes,DSL,Yes,No,1,Month-to-month,Yes,Mailed check,66.72,4038.46,No
CUST00055,Male,46,0,No,No,45,Yes,Fiber optic,No,No,2,One year,No,Credit card,82.46,3627.09,No
CUST00056,Male,20,0,Yes,Yes,26,Yes,No,No internet service,No internet service,2,Month-to-month,No,Mailed check,28.95,800.39,No
CUST00057,Female,49,0,Yes,No,47,Yes,No,No internet service,No internet service,3,Month-to-month,Yes,Mailed check,34.6,1530.57,No
CUST00058,Female,26,0,Yes,No,50,Yes,Fiber optic,Yes,Yes,1,Month-to-month,Yes,Electronic check,75.01,3394.86,No
CUST00059,Female,61,1,No,No,23,Yes,DSL,No,No,6,Month-to-month,Yes,Credit card,53.18,1292.74,No
CUST00060,Male,57,0,No,No,12,Yes,DSL,No,No,0,Month-to-month,Yes,Mailed check,58.17,629.04,Yes
CUST00061,Male,71,1,No,No,34,Yes,DSL,No,No,3,Two year,No,Electronic check,65.12,2338.85,No
CUST00062,Male,61,1,No,Yes,58,Yes,Fiber optic,No,Yes,2,Month-to-month,No,Mailed check,75.5,4595.24,No
CUST00063,Female,39,0,No,Yes,43,No,DSL,No,Yes,2,Two year,Yes,Electronic check,50.68,2279.91,No
CUST00064,Female,74,1,Yes,Yes,65,Yes,Fiber optic,No,No,2,Month-to-month,Yes,Mailed check,89.96,5607.95,No
CUST00065,Male,41,0,No,No,49,Yes,No,No internet service,No internet service,0,Month-to-month,Yes,Electronic check,36.45,1770.38,No
CUST00066,Male,36,0,No,No,72,Yes,Fiber optic,Yes,No,3,Two year,Yes,Mailed check,72.27,5346.92,No
CUST00067,Female,70,1,Yes,No,36,Yes,Fiber optic,Yes,No,3,Month-to-month,Yes,Electronic check,97.85,3277.76,No
CUST00068,Female,39,0,No,No,22,Yes,DSL,No,No,0,Month-to-month,Yes,Electronic check,62.14,1435.86,Yes
CUST00069,Male,22,0,Yes,No,45,Yes,Fiber optic,No,No,2,Month-to-month,Yes,Mailed check,90.29,4096.18,No
CUST00070,Female,45,0,Yes,Yes,60,Yes,Fiber optic,No,Yes,2,Two year,Yes,Bank transfer,87.58,5094.95,No
CUST00071,Male,64,1,No,Yes,32,Yes,DSL,Yes,Yes,0,Month-to-month,Yes,Bank transfer,53.35,1573.09,No
CUST00072,Male,28,0,No,No,50,No,Fiber optic,No,Yes,3,Month-to-month,Yes,Electronic check,51.98,2391.43,No
CUST00073,Male,44,0,Yes,No,20,Yes,Fiber optic,No,No,2,Two year,Yes,Bank transfer,69.25,1306.93,No
CUST00074,Female,25,0,No,No,49,No,DSL,No,No,1,One year,No,Mailed check,39.89,2147.92,No
CUST00075,Female,57,0,Yes,Yes,72,Yes,Fiber optic,No,Yes,2,One year,Yes,Mailed check,65.42,4640.68,No
CUST00076,Male,45,0,No,No,20,Yes,Fiber optic,,No,2,Month-to-month,Yes,Electronic check,94.02,1909.71,Yes
CUST00077,Female,37,0,No,Yes,33,Yes,Fiber optic,No,No,6,One year,Yes,Bank transfer,90.09,3046.02,Yes
CUST00078,Female,31,0,Yes,No,41,Yes,DSL,Yes,Yes,1,One year,Yes,Electronic check,53.31,2237.59,No
CUST00079,Female,50,0,No,Yes,25,Yes,DSL,No,No,3,Month-to-month,No,Electronic check,59.29,1482.76,No
CUST00080,Female,56,0,No,Yes,21,Yes,DSL,Yes,Yes,0,One year,Yes,Credit card,63.72,1402.29,No
CUST00081,Male,72,1,No,No,29,Yes,No,No internet service,No internet service,0,Two year,Yes,Electronic check,31.76,971.11,No
CUST00082,Male,43,0,Yes,No,55,Yes,Fiber optic,No,No,5,Month-to-month,Yes,Bank transfer,73.18,4155.67,Yes
CUST00083,Male,27,0,Yes,No,8,Yes,No,No internet service,No internet service,2,Month-to-month,Yes,Mailed check,29.82,224.06,No
CUST00084,Male,66,1,No,Yes,14,Yes,DSL,Yes,Yes,1,Month-to-month,Yes,Electronic check,56.68,825.78,No
CUST00085,Male,54,0,No,No,25,Yes,DSL,No,Yes,2,One year,Yes,Mailed check,55.23,1409.23,No
CUST00086,Male,58,0,No,No,51,Yes,DSL,Yes,No,1,One year,Yes,Electronic check,43.52,2086.16,No
CUST00087,Female,23,0,No,No,29,Yes,Fiber optic,Yes,Yes,5,Month-to-month,Yes,Credit card,72.85,2174.35,No
CUST00088,Male,36,0,No,Yes,17,Yes,Fiber optic,No,Yes,4,Month-to-month,Yes,Electronic check,87.51,1364.43,No
CUST00089,Male,62,1,Yes,No,69,Yes,DSL,Yes,Yes,4,Month-to-month,Yes,Bank transfer,44.82,3079.54,No
CUST00090,Male,66,1,No,No,32,Yes,Fiber optic,Yes,No,1,Month-to-month,Yes,Credit card,77.9,2473.74,No
CUST00091,Male,43,0,No,No,21,Yes,Fiber optic,No,No,5,One year,Yes,Electronic check,85.41,1799.76,No
CUST00092,Female,64,1,Yes,No,41,Yes,DSL,No,No,0,Month-to-month,Yes,Bank transfer,72.44,,No
CUST00093,Female,66,1,Yes,No,39,Yes,DSL,No,No,1,Month-to-month,No,Mailed check,50.82,1906.19,No
CUST00094,Male,40,0,No,Yes,33,No,DSL,No,No,1,Month-to-month,No,Credit card,55.79,1850.64,No
CUST00095,Female,70,1,No,Yes,17,Yes,DSL,No,Yes,3,Month-to-month,No,Mailed check,47.96,830.35,No
CUST00096,Female,34,0,No,Yes,50,Yes,No,No internet service,No internet service,1,One year,Yes,Electronic check,20.0,986.09,No
CUST00097,Female,31,0,Yes,No,72,Yes,DSL,Yes,Yes,3,One year,Yes,Credit card,49.97,3950.17,No
CUST00098,Male,57,0,No,Yes,36,Yes,DSL,No,Yes,2,One year,Yes,Bank transfer,47.66,1824.84,No
CUST00099,Female,54,0,Yes,Yes,9,Yes,Fiber optic,No,No,2,Month-to-month,No,Bank transfer,85.62,832.11,Yes
CUST00100,Female,26,0,Yes,No,72,Yes,Fiber optic,No,No,1,One year,No,Mailed check,79.84,5288.92,No
CUST00101,Female,66,1,No,Yes,40,No,DSL,No,No,4,Month-to-month,Yes,Mailed check,51.56,2019.58,No
CUST00102,Male,29,0,No,No,13,Yes,DSL,No,Yes,4,Month-to-month,No,Credit card,44.94,609.02,No
CUST00103,Female,64,1,No,No,49,No,Fiber optic,No,No,0,One year,Yes,Mailed check,87.85,4476.92,No
CUST00104,Male,18,0,No,No,58,Yes,DSL,No,No,3,Month-to-month,Yes,Bank transfer,51.21,3040.2,No
CUST00105,Male,64,1,No,No,29,Yes,Fiber optic,No,Yes,0,Month-to-month,No,Credit card,74.87,2184.84,No
CUST00106,Female,63,1,Yes,No,7,Yes,DSL,Yes,No,1,Month-to-month,No,Bank transfer,56.85,427.58,No
CUST00107,Female,63,1,Yes,No,34,Yes,Fiber optic,No,No,3,One year,No,Bank transfer,81.76,2983.31,No
CUST00108,Male,56,0,No,No,13,Yes,DSL,Yes,Yes,1,Month-to-month,Yes,Electronic check,49.41,666.8,No
CUST00109,Female,45,0,No,No,41,No,No,No internet service,No internet service,3,One year,Yes,Electronic check,20.0,843.0,No
CUST00110,Female,58,0,Yes,Yes,17,Yes,DSL,No,Yes,0,Month-to-month,Yes,Bank transfer,35.01,599.69,No
CUST00111,Female,34,0,Yes,No,38,Yes,DSL,No,No,1,Month-to-month,Yes,Credit card,72.13,2551.58,No
CUST00112,Male,63,1,Yes,No,21,Yes,Fiber optic,No,No,5,Month-to-month,Yes,Mailed check,80.66,1542.76,Yes
CUST00113,Male,50,0,Yes,No,35,Yes,Fiber optic,No,No,1,One year,Yes,Bank transfer,92.39,2983.42,No
CUST00114,Female,44,0,No,No,49,Yes,No,No internet service,No internet service,1,One year,Yes,Electronic check,25.32,1294.72,No
CUST00115,Female,47,0,Yes,No,50,No,No,No internet service,No internet service,1,Month-to-month,No,Electronic check,31.54,1458.16,No
CUST00116,Female,50,0,Yes,No,16,Yes,DSL,Yes,No,0,One year,Yes,Electronic check,56.11,967.84,No
CUST00117,Female,20,0,No,No,23,Yes,No,No internet service,No internet service,1,Month-to-month,Yes,Electronic check,32.42,758.59,No
CUST00118,Female,26,0,No,Yes,24,No,Fiber optic,Yes,Yes,4,Two year,Yes,Electronic check,56.19,1393.28,No
CUST00119,Female,32,0,Yes,No,34,Yes,DSL,No,No,2,Month-to-month,No,Electronic check,49.48,1617.34,No
CUST00120,Male,24,0,Yes,Yes,61,Yes,Fiber optic,No,No,2,Month-to-month,Yes,Bank transfer,78.35,4597.27,Yes
CUST00121,Female,43,0,Yes,No,26,Yes,DSL,No,No,1,One year,Yes,Mailed check,69.17,1907.33,No
CUST00122,Male,56,0,Yes,No,39,Yes,DSL,No,No,4,Month-to-month,Yes,Mailed check,69.35,2957.95,No
CUST00123,Female,55,0,Yes,No,25,Yes,DSL,Yes,No,0,One year,Yes,Mailed check,63.3,1546.75,Yes
CUST00124,Male,45,0,Yes,No,17,Yes,Fiber optic,Yes,No,4,Month-to-month,No,Mailed check,97.79,1782.7,Yes
CUST00125,Female,67,1,Yes,No,8,Yes,No,No internet service,No internet service,5,Month-to-month,Yes,Electronic check,31.81,275.12,No
CUST00126,Male,50,0,Yes,No,20,Yes,DSL,No,No,1,Month-to-month,Yes,Bank transfer,55.29,1024.84,Yes
CUST00127,Male,22,0,Yes,Yes,11,Yes,No,No internet service,No internet service,3,Month-to-month,No,Electronic check,29.17,328.08,No
CUST00128,Male,62,1,No,No,12,Yes,Fiber optic,Yes,No,3,Month-to-month,Yes,Credit card,89.06,1036.31,Yes
CUST00129,Male,51,0,Yes,Yes,35,Yes,Fiber optic,No,No,3,Month-to-month,Yes,Electronic check,82.13,2604.88,No
CUST00130,Female,54,0,Yes,Yes,38,Yes,No,No internet service,No internet service,1,One year,No,Electronic check,43.96,1727.98,No
CUST00131,Male,50,0,No,No,52,Yes,DSL,Yes,Yes,2,Month-to-month,No,Electronic check,46.71,2546.48,No
CUST00132,Female,50,0,Yes,No,5,Yes,Fiber optic,Yes,Yes,0,Month-to-month,Yes,Electronic check,82.8,422.34,Yes
CUST00133,Female,23,0,No,No,46,Yes,Fiber optic,No,Yes,3,Two year,Yes,Electronic check,78.81,3632.83,No
CUST00134,Female,50,0,No,Yes,2,Yes,Fiber optic,No,No,2,Month-to-month,Yes,Credit card,90.32,196.54,No
CUST00135,Male,64,1,No,No,17,Yes,No,No internet service,No internet service,1,Two year,Yes,Electronic check,24.43,387.35,No
CUST00136,Male,35,0,Yes,Yes,25,Yes,DSL,No,No,2,Month-to-month,Yes,Mailed check,42.05,1148.72,No
CUST00137,Male,52,0,No,Yes,17,Yes,Fiber optic,No,No,2,Two year,No,Mailed check,85.69,1477.43,No
CUST00138,Male,19,0,No,Yes,28,Yes,Fiber optic,No,Yes,2,One year,Yes,Bank transfer,70.15,2124.99,No
CUST00139,Male,38,0,Yes,No,32,Yes,Fiber optic,No,No,2,Month-to-month,No,Bank transfer,87.64,3023.99,No
CUST00140,Female,43,0,Yes,No,2,Yes,Fiber optic,Yes,No,1,Month-to-month,Yes,Electronic check,88.62,161.67,No
CUST00141,Male,74,1,Yes,Yes,39,Yes,No,No internet service,No internet service,4,Month-to-month,Yes,Electronic check,28.26,1136.43,No
CUST00142,Male,30,0,No,Yes,19,Yes,No,No internet service,No internet service,1,Month-to-month,Yes,Bank transfer,26.22,511.01,No
CUST00143,Male,34,0,Yes,No,45,No,DSL,No,No,1,Month-to-month,Yes,Bank transfer,53.05,2324.71,No
CUST00144,Male,41,0,Yes,No,46,Yes,No,No internet service,No internet service,3,One year,Yes,Bank transfer,20.0,891.84,No
CUST00145,Male,75,1,No,Yes,30,Yes,DSL,Yes,No,3,One year,Yes,Bank transfer,57.47,1744.84,No
CUST00146,Male,67,1,No,No,50,Yes,DSL,No,No,3,Month-to-month,No,Credit card,59.85,3073.75,No
CUST00147,Female,20,0,Yes,No,14,Yes,Fiber optic,No,Yes,4,One year,Yes,Mailed check,78.56,1024.98,No
CUST00148,Female,31,0,Yes,No,18,Yes,DSL,No,Yes,3,Month-to-month,Yes,Electronic check,43.46,839.51,No
CUST00149,Female,65,1,Yes,Yes,5,Yes,No,No internet service,No internet service,3,Month-to-month,Yes,Credit card,31.96,159.96,No
CUST00150,Female,21,0,No,No,40,Yes,No,No internet service,No internet service,1,Month-to-month,Yes,Electronic check,38.92,1515.06,No
CUST00151,Female,67,1,Yes,No,28,Yes,DSL,No,Yes,2,Month-to-month,Yes,Credit card,53.47,1596.93,No
CUST00152,Male,34,0,No,No,25,Yes,Fiber optic,Yes,Yes,2,Month-to-month,No,Bank transfer,81.09,2176.78,No
CUST00153,Male,71,1,Yes,No,24,Yes,Fiber optic,Yes,Yes,1,Month-to-month,Yes,Bank transfer,66.78,1460.56,No
CUST00154,Male,35,0,Yes,No,21,Yes,DSL,Yes,No,4,Month-to-month,Yes,Credit card,56.66,1185.42,No
CUST00155,Male,43,0,Yes,No,12,Yes,Fiber optic,No,No,0,Two year,Yes,Bank transfer,86.66,1081.43,No
CUST00156,Male,56,0,Yes,No,10,Yes,Fiber optic,Yes,No,1,One year,Yes,Electronic check,77.08,743.88,Yes
CUST00157,Male,25,0,No,Yes,72,Yes,DSL,Yes,Yes,0,Two year,No,Mailed check,47.82,3539.32,No
CUST00158,Male,50,0,No,No,38,Yes,No,No internet service,No internet service,0,Month-to-month,No,Mailed check,40.58,1450.36,No
CUST00159,Female,47,0,Yes,No,25,Yes,DSL,No,No,0,Two year,Yes,Mailed check,61.84,1470.04,No
CUST00160,Female,63,1,No,No,22,Yes,DSL,No,Yes,4,Month-to-month,No,Electronic check,55.69,1258.37,No
CUST00161,Female,75,1,Yes,No,35,No,Fiber optic,Yes,No,2,Month-to-month,Yes,Electronic check,89.44,3036.8,No
CUST00162,Male,56,0,No,Yes,57,Yes,DSL,No,No,1,Month-to-month,No,Mailed check,57.53,3368.4,No
CUST00163,Male,41,0,Yes,No,31,Yes,No,No internet service,No internet service,3,Month-to-month,No,Bank transfer,44.84,1350.71,No
CUST00164,Female,41,0,No,No,72,Yes,Fiber optic,Yes,No,4,Month-to-month,Yes,Electronic check,82.18,5589.25,No
CUST00165,Male,42,0,Yes,No,41,Yes,No,No internet service,No internet service,2,One year,Yes,Electronic check,21.22,798.5,No
CUST00166,Male,65,1,No,No,19,Yes,Fiber optic,No,,1,One year,No,Bank transfer,86.61,1795.24,Yes
CUST00167,Male,36,0,No,Yes,10,Yes,DSL,No,No,3,Month-to-month,No,Bank transfer,57.23,617.06,No
CUST00168,Male,27,0,No,Yes,55,Yes,No,No internet service,No internet service,1,One year,Yes,Electronic check,21.34,1225.18,No
CUST00169,Female,37,0,No,No,13,Yes,No,No internet service,No internet service,1,Month-to-month,Yes,Electronic check,27.47,351.61,No
CUST00170,Female,19,0,Yes,No,45,Yes,DSL,No,No,5,Month-to-month,Yes,Mailed check,54.5,2491.32,No
CUST00171,Male,24,0,No,No,35,Yes,DSL,No,Yes,3,Month-to-month,Yes,Credit card,55.63,1922.16,No
CUST00172,Male,23,0,Yes,No,8,Yes,No,No internet service,No internet service,4,Month-to-month,No,Electronic check,46.36,402.67,No
CUST00173,Female,62,1,No,No,34,Yes,DSL,No,Yes,2,Month-to-month,Yes,Credit card,53.38,1759.32,No
CUST00174,Female,59,0,Yes,No,39,Yes,Fiber optic,No,No,2,Month-to-month,No,Credit card,88.04,3448.07,Yes
CUST00175,Female,58,0,Yes,No,22,Yes,DSL,No,No,1,Month-to-month,Yes,Bank transfer,54.42,1180.12,No
CUST00176,Male,44,0,No,No,21,No,DSL,No,Yes,1,Two year,No,Credit card,37.44,820.01,No
CUST00177,Female,59,0,Yes,No,23,Yes,DSL,No,No,0,Two year,Yes,Mailed check,64.37,1420.02,No
CUST00178,Female,27,0,No,No,54,Yes,Fiber optic,Yes,No,0,Two year,Yes,Mailed check,88.41,5110.32,No
CUST00179,Female,70,1,Yes,No,20,Yes,DSL,Yes,Yes,3,Month-to-month,Yes,Bank transfer,59.92,1132.67,No
CUST00180,Male,47,0,No,No,6,Yes,DSL,No,No,1,Month-to-month,Yes,Electronic check,57.83,362.5,No
CUST00181,Female,72,1,No,Yes,28,Yes,DSL,Yes,No,0,One year,Yes,Bank transfer,55.73,1572.48,No
CUST00182,Male,26,0,No,No,5,Yes,Fiber optic,No,No,3,One year,Yes,Credit card,103.23,514.52,Yes
CUST00183,Male,46,0,Yes,No,34,Yes,DSL,No,No,3,Month-to-month,No,Bank transfer,67.82,2414.13,No
CUST00184,Female,58,0,Yes,No,12,Yes,DSL,Yes,No,1,One year,No,Electronic check,67.02,873.3,No
CUST00185,Female,46,0,Yes,Yes,24,Yes,Fiber optic,No,Yes,3,Two year,Yes,Electronic check,65.13,1551.9,No
CUST00186,Male,43,0,Yes,No,12,No,DSL,Yes,No,2,Month-to-month,No,Electronic check,54.67,623.89,No
CUST00187,Male,27,0,No,Yes,66,Yes,DSL,No,No,2,Two year,No,Electronic check,70.24,4376.93,No
CUST00188,Male,40,0,Yes,No,35,Yes,Fiber optic,Yes,No,1,Month-to-month,Yes,Credit card,90.91,2886.91,No
CUST00189,Male,31,0,Yes,No,12,Yes,DSL,Yes,No,4,Month-to-month,Yes,Electronic check,68.23,766.67,Yes
CUST00190,Female,35,0,Yes,No,30,Yes,Fiber optic,No,No,2,Month-to-month,Yes,Credit card,82.76,2655.1,No
CUST00191,Male,57,0,No,No,10,Yes,Fiber optic,Yes,No,0,One year,No,Bank transfer,76.83,742.27,Yes
CUST00192,Female,54,0,Yes,No,23,No,No,No internet service,No internet service,2,Month-to-month,No,Bank transfer,20.57,496.96,No
CUST00193,Male,53,0,Yes,No,57,No,Fiber optic,Yes,No,2,Month-to-month,Yes,Bank transfer,80.11,4654.65,No
CUST00194,Female,38,0,Yes,No,36,Yes,No,No internet service,No internet service,2,Month-to-month,Yes,Electronic check,29.11,1102.47,No
CUST00195,Female,73,1,Yes,No,13,Yes,DSL,No,No,2,Month-to-month,Yes,Bank transfer,67.71,849.51,No
CUST00196,Female,23,0,No,No,9,Yes,Fiber optic,Yes,Yes,1,One year,No,Mailed check,75.95,738.0,No
CUST00197,Female,37,0,Yes,No,39,Yes,Fiber optic,Yes,Yes,3,Month-to-month,Yes,Electronic check,74.12,2763.25,No
CUST00198,Female,24,0,No,Yes,72,Yes,Fiber optic,Yes,No,2,Month-to-month,Yes,Credit card,84.17,5820.78,No
CUST00199,Female,37,0,No,No,24,Yes,DSL,No,Yes,1,Two year,Yes,Electronic check,37.64,952.21,No
CUST00200,Female,73,1,No,No,55,Yes,Fiber optic,No,Yes,1,Two year,No,Bank transfer,65.47,3403.1,No
CUST00201,Male,39,0,No,Yes,36,Yes,DSL,No,Yes,2,Two year,Yes,Electronic check,60.19,2282.99,No
CUST00202,Female,70,1,No,Yes,38,Yes,No,No internet service,No internet service,3,Month-to-month,Yes,Electronic check,30.98,1209.2,No
CUST00203,Female,46,0,Yes,No,10,Yes,No,No internet service,No internet service,1,Month-to-month,Yes,Mailed check,29.32,305.72,Yes
CUST00204,Male,58,0,No,No,23,Yes,No,No internet service,No internet service,3,One year,Yes,Electronic check,22.56,524.14,No
CUST00205,Female,44,0,No,No,24,Yes,DSL,Yes,No,1,Two year,No,Bank transfer,64.99,1592.24,No
CUST00206,Male,33,0,No,No,4,Yes,Fiber optic,Yes,No,4,Month-to-month,Yes,Electronic check,69.12,277.6,No
CUST00207,Female,62,1,No,No,16,No,Fiber optic,Yes,No,3,Two year,Yes,Mailed check,80.46,1286.26,No
CUST00208,Female,74,1,Yes,No,18,Yes,Fiber optic,No,No,2,Month-to-month,Yes,Mailed check,67.33,1110.31,Yes
CUST00209,Female,33,0,Yes,Yes,13,Yes,No,No internet service,No internet service,0,One year,Yes,Electronic check,32.59,387.01,No
CUST00210,Female,63,1,Yes,No,23,Yes,DSL,No,No,1,Month-to-month,Yes,Bank transfer,67.97,1409.31,Yes
CUST00211,Male,33,0,Yes,No,44,Yes,Fiber optic,No,Yes,1,Month-to-month,Yes,Mailed check,72.33,3119.68,Yes
CUST00212,Male,59,0,Yes,No,45,Yes,Fiber optic,Yes,No,2,Month-to-month,Yes,Electronic check,84.13,4093.6,No
CUST00213,Female,63,1,Yes,Yes,61,Yes,Fiber optic,Yes,No,2,Month-to-month,Yes,Mailed check,93.99,6022.62,Yes
CUST00214,Male,44,0,No,No,49,Yes,Fiber optic,No,Yes,1,One year,Yes,Mailed check,62.5,2759.61,No
CUST00215,Female,60,1,No,No,32,Yes,Fiber optic,Yes,No,1,Month-to-month,Yes,Mailed check,82.65,2429.08,No
CUST00216,Male,33,0,No,No,62,Yes,No,No internet service,No internet service,0,Month-to-month,Yes,Bank transfer,27.08,1675.0,No
CUST00217,Female,22,0,No,No,19,Yes,DSL,No,No,1,One year,No,Electronic check,59.33,1043.57,No
